"t","ax","az","mx"
704719,-78,183,-252
704759,-7,203,-251
704799,66,208,-251
704839,6,187,-259
704879,21,223,-259
704920,30,125,-258
704960,-65,142,-264
704999,-14,291,-264
705038,106,136,-258
705078,48,189,-258
705118,24,161,-265
705159,38,176,-271
705199,50,155,-271
705239,36,194,-264
705279,46,207,-264
705319,49,223,-255
705359,35,191,-262
705400,-21,156,-262
705440,-42,184,-253
705480,-20,214,-253
705520,-34,202,-253
705560,-36,239,-253
705600,-20,230,-253
705640,-16,211,-252
705679,30,219,-252
705719,66,229,-249
705759,94,185,-249
705799,159,213,-251
705839,232,181,-260
705880,146,188,-260
705921,268,160,-262
705961,255,174,-262
706001,203,139,-266
706041,178,182,-266
706081,125,164,-266
706121,-2,197,-259
706162,69,232,-259
706202,-42,213,-255
706242,-45,261,-248
706281,21,211,-248
706320,21,232,-246
706360,-37,228,-246
706401,-43,243,-242
706441,-43,216,-237
706481,-114,191,-237
706521,-143,149,-236
706561,-74,166,-236
706601,-106,190,-239
706641,-53,173,-235
706682,-33,224,-235
706722,37,222,-238
706762,46,210,-238
706802,47,246,-246
706842,73,275,-257
706882,116,302,-257
706923,-24,191,-256
706962,91,132,-256
707001,23,194,-256
707041,61,231,-258
707081,24,168,-258
707121,44,165,-263
707162,41,203,-263
707202,47,135,-254
707242,30,181,-249
707282,27,197,-249
707322,9,198,-251
707362,-23,170,-251
707403,-59,235,-241
707443,-12,234,-241
707483,-58,206,-241
707523,-36,218,-241
707563,22,179,-241
707602,33,210,-243
707642,68,232,-243
707682,109,206,-248
707722,174,165,-255
707762,208,154,-255
707802,219,167,-252
707842,301,135,-252
707882,246,220,-258
707923,212,213,-248
707963,205,211,-248
708003,92,130,-264
708043,65,162,-264
708083,-21,191,-257
708123,-118,205,-255
708163,-46,213,-255
708204,91,223,-248
708243,36,220,-248
708282,-89,212,-253
708322,-47,200,-244
708362,-46,236,-244
708402,-98,194,-240
708443,-39,157,-240
708483,-139,188,-238
708523,-80,178,-238
708563,-64,173,-238
708603,-73,189,-238
708643,-19,210,-238
708684,6,196,-237
708724,70,225,-238
708764,47,244,-238
708804,80,195,-241
708844,47,266,-241
708883,104,289,-242
708923,36,220,-244
708963,7,260,-244
709003,77,248,-252
709043,57,228,-252
709083,39,205,-251
709123,13,241,-246
709164,51,251,-246
709204,47,167,-248
709244,38,207,-248
709284,19,189,-256
709324,-21,163,-256
709365,-44,213,-256
709405,-5,180,-231
709445,-38,231,-231
709485,-29,226,-227
709524,-32,200,-227
709563,10,217,-229
709604,39,224,-232
709644,86,160,-232
709684,105,190,-240
709724,125,188,-240
709764,182,164,-238
709804,225,85,-236
709844,304,180,-236
709885,227,154,-235
709925,214,176,-235
709965,187,198,-237
710005,143,169,-244
710045,68,225,-244
710085,-7,222,-241
710125,-15,212,-241
710166,-14,196,-258
710205,17,164,-251
710244,44,239,-251
710284,-34,210,-239
710324,-68,214,-239
710364,-82,212,-238
710405,-15,197,-233
710445,-129,209,-233
710485,-83,210,-222
710525,-124,174,-222
710565,-115,157,-235
710605,-110,155,-240
710645,53,149,-240
710686,109,186,-238
710727,31,245,-238
710767,86,291,-246
710807,120,231,-250
710846,97,264,-250
710885,-24,262,-249
710925,55,293,-249
710966,45,198,-250
711006,44,186,-253
711046,39,183,-253
711086,45,167,-249
711126,37,168,-249
711167,51,137,-254
711207,39,184,-245
711247,54,181,-245
711287,43,116,-249
711327,30,155,-249
711367,7,225,-251
711408,9,209,-251
711448,-16,201,-251
711488,-18,213,-237
711527,-52,233,-237
711566,-34,191,-236
711606,-40,230,-236
711647,18,235,-241
711687,56,216,-239
711727,93,194,-239
711767,130,200,-241
711807,160,155,-241
711847,234,137,-240
711888,259,232,-233
711929,273,175,-233
711968,244,166,-230
712008,223,154,-230
712048,134,183,-225
712088,86,198,-199
712128,7,187,-199
712168,-30,205,-193
712208,-35,212,-193
712248,78,227,-190
712288,21,198,-202
712328,19,237,-202
712368,-40,223,-203
712409,-56,225,-203
712449,-8,218,-214
1271622,60,216,-157
1271662,65,184,-200
1271702,68,243,-200
1271741,134,125,-140
1271780,70,222,-140
1271821,50,186,-130
1271862,114,225,-117
1271902,88,229,-117
1271942,77,200,-122
1271982,61,206,-122
1272022,47,221,-132
1272062,30,217,-119
1272102,-26,212,-119
1272142,-16,190,-130
1272183,-28,195,-130
1272223,-22,208,-122
1272263,2,167,-125
1272303,27,215,-125
1272343,43,224,-126
1272382,53,197,-126
1272421,50,217,-123
1272461,48,204,-123
1272502,38,219,-123
1272543,31,207,-116
1272583,38,204,-116
1272623,39,218,-115
1272663,47,228,-118
1272703,42,231,-118
1272743,41,187,-112
1272783,53,215,-112
1272824,55,191,-118
1272865,54,189,-117
1272905,59,276,-117
1272945,49,210,-120
1272985,17,171,-120
1273025,-24,250,-115
1273064,-41,179,-108
1273103,-40,258,-108
1273143,-40,227,-109
1273184,-16,211,-109
1273224,-29,199,-107
1273264,-19,221,-107
1273304,-51,207,-105
1273344,-38,215,-107
1273384,-26,250,-107
1273424,-6,215,-105
1273464,23,256,-105
1273505,47,212,-104
1273546,100,190,-102
1273585,119,215,-102
1273625,135,206,-98
1273665,133,143,-98
1273704,194,174,-85
1273743,187,175,-89
1273783,158,197,-89
1273823,132,213,-85
1273864,132,192,-85
1273905,30,185,-86
1273945,60,184,-94
1273985,53,213,-94
1274025,-22,218,-99
1274065,11,209,-99
1274106,55,183,-117
1274147,5,213,-101
1274187,-30,225,-101
1274227,-27,209,-95
1274267,-78,191,-95
1274307,-13,215,-102
1274347,-85,171,-87
1274387,4,206,-87
1274426,-39,222,-88
1274466,-108,212,-88
1274506,-92,192,-85
1274546,-94,190,-91
1274586,-45,200,-91
1274627,-25,203,-105
1274668,-43,194,-105
1274708,-30,235,-113
1274748,22,220,-115
1274788,82,223,-115
1274828,33,202,-113
1274868,-13,223,-113
1274908,42,175,-116
1274948,19,268,-116
1274989,-42,243,-117
1275028,-184,219,-116
1275067,54,166,-116
1275106,32,184,-104
1275146,34,208,-104
1275186,35,198,-104
1275226,42,167,-108
1275266,38,192,-108
1275306,1,222,-100
1275347,-61,187,-100
1275387,-26,190,-96
1275427,-21,202,-102
1275467,-65,223,-102
1275507,-45,241,-104
1275547,-25,231,-104
1275587,36,230,-103
1275627,88,206,-104
1275667,122,203,-104
1275707,134,200,-112
1275747,175,225,-112
1275787,273,261,-114
1275827,271,155,-116
1275867,207,256,-116
1275907,166,187,-109
1275947,150,154,-109
1275987,125,188,-109
1276027,54,234,-109
1276067,44,235,-109
1276107,9,229,-116
1276148,-22,205,-116
1276188,5,208,-109
1276228,32,205,-109
1276268,-16,203,-115
1276307,-21,209,-115
1276346,-37,216,-115
1276386,-23,212,-106
1276426,-79,204,-106
1276467,-7,234,-111
1276507,-86,207,-113
1276547,-95,168,-113
1276587,-83,180,-108
1276627,-124,187,-108
1276667,-92,185,-96
1276707,-51,215,-92
1276747,-2,214,-92
1276788,47,156,-101
1276828,66,496,-101
1276868,42,236,-93
1276908,66,484,-102
1276947,45,203,-102
1276986,55,115,-97
1277026,-35,300,-97
1277067,21,180,-91
1277107,49,196,-86
1277147,44,189,-86
1277187,38,168,-82
1277227,14,198,-82
1277267,17,183,-88
1277308,37,214,-91
1277348,-3,202,-91
1277388,5,186,-90
1277428,-9,211,-90
1277468,8,199,-101
1277509,-57,189,-101
1277549,-51,221,-101
1277588,-3,212,-98
1277627,3,229,-98
1277666,37,226,-103
1277706,84,212,-103
1277746,97,235,-108
1277787,142,220,-104
1277828,217,212,-104
1277868,229,120,-109
1277908,254,168,-109
1277948,245,129,-97
1277988,189,194,-93
1278028,164,203,-93
1278068,94,188,-92
1278108,33,230,-92
1278149,65,187,-100
1278189,29,211,-102
1278228,-9,220,-102
1278267,41,210,-103
1278306,22,212,-103
1278346,-20,237,-99
1278386,-29,201,-101
1278426,-46,191,-101
1278467,-51,214,-104
1278507,-50,180,-104
1278547,-66,182,-110
1278587,-104,201,-105
1278627,-71,177,-105
1278667,-36,201,-105
1278707,-38,185,-105
1278747,-18,211,-103
1278787,10,208,-103
1278828,33,211,-107
1278868,38,246,-114
1278907,30,201,-114
1278946,43,250,-111
1278986,125,236,-111
1279026,37,238,-109
1279066,-11,187,-114
1279106,22,225,-114
1279146,45,176,-114
1279187,37,203,-114
1279228,37,180,-99
1279268,48,194,-116
1279308,29,194,-116
1279348,17,182,-110
1279388,37,203,-110
1279428,33,213,-110
1279468,-33,217,-107
1279508,-15,230,-107
1279548,-33,224,-114
1279587,-46,245,-114
1279627,11,263,-108
1279667,7,198,-116
1279707,31,213,-116
1279747,71,182,-115
1279787,83,184,-115
1279828,102,194,-121
1279869,175,164,-122
1279909,242,268,-122
1279949,260,210,-123
1279989,263,244,-123
1280029,160,177,-107
1280069,167,188,-105
1280109,166,180,-105
1280148,84,201,-104
1280187,67,245,-104
1280226,70,224,-97
1280266,1,234,-97
1280306,-24,199,-101
1280346,13,218,-108
1280386,-25,233,-108
1280426,-41,204,-110
1280466,-40,207,-110
1280506,-59,245,-104
1280546,-93,204,-109
